id1,category,details,pnr,startTime,endTime,status,staffId,ticket id, ticketDetails,feedback,rating,sentiment,metadata,media
29,unhygenic_toilet,"The washbasin was dirty, and water was clogged.",1919191919,2024-11-07 09:15:00,2024-11-07 10:30:00,completed,staff029,,,The washbasin was cleaned and cleared immediately.,5,0.6665543056579922,image029.jpg,video029.mp4
30,damage_window,"Window seals were broken, and it was letting in wind.",2020202020,2024-11-08 16:45:00,2024-11-08 18:00:00,completed,staff030,,,"The window was repaired promptly, and the compartment was much more comfortable.",4,0.9308761270790048,image030.jpg,video030.mp4
31,damage_seat,The seat was broken and could not recline.,2121212121,2024-11-09 07:00:00,2024-11-09 08:15:00,completed,staff031,,,"The seat was replaced quickly, and the new one was much better.",4,0.8645007820366795,image031.jpg,video031.mp4
32,food,"The food quality was very low, and the portion size was small.",2222222222,2024-11-10 12:30:00,2024-11-10 14:00:00,completed,staff032,,,"Food was replaced quickly, but the overall quality still needs improvement.",2,0.6186847485468508,image032.jpg,video032.mp4
33,unhygenic_compartment,"The compartment was dusty, and there was a strange odor.",2323232323,2024-11-11 10:00:00,2024-11-11 11:15:00,completed,staff033,,,"The compartment was cleaned promptly, but the odor lingered for a while.",3,0.3891270423609355,image033.jpg,video033.mp4
35,violence,A violent altercation occurred between two passengers.,2525252525,2024-11-13 16:30:00,2024-11-13 18:00:00,completed,staff035,,,"The situation was diffused quickly, but it was unpleasant for other passengers.",3,0.5446571699755487,image035.jpg,video035.mp4
36,damage_seat,The seat was broken and would not adjust.,2626262626,2024-10-14 09:00:00,2024-10-14 10:15:00,completed,staff036,,,"The seat was fixed quickly, but the adjustment feature could be smoother.",4,0.59788117244116,image036.jpg,video036.mp4
37,food,The food was overpriced and bland.,2727272727,2024-10-15 12:30:00,2024-10-15 14:00:00,completed,staff037,,,"Food quality could be better, but the replacement was quick.",2,0.6680806601895569,image037.jpg,video037.mp4
38,unhygenic_compartment,"The compartment was filthy, and there were no cleaning staff around.",2828282828,2024-10-16 16:30:00,2024-10-16 17:30:00,completed,staff038,,,"The compartment was cleaned immediately after the complaint, but the delay was inconvenient.",3,0.4222025530005818,image038.jpg,video038.mp4
40,violence,A passenger was aggressive towards the train staff.,3030303030,2024-10-18 13:00:00,2024-10-18 14:00:00,completed,staff040,,,"The situation was handled by security, but it was disturbing.",3,0.6567845175296108,image040.jpg,video040.mp4
41,unhygenic_toilet,"The toilet was extremely unhygienic, with a blocked toilet and no water.",3131313131,2024-10-19 08:30:00,2024-10-19 10:00:00,completed,staff041,,,Toilet was cleaned and water was provided soon after the complaint.,4,0.759540815655368,image041.jpg,video041.mp4
42,management,"Train was overbooked, and no seating arrangements were made for passengers.",3232323232,2024-10-20 17:00:00,2024-10-20 18:00:00,completed,staff042,,,"Overcrowding was addressed, but it was uncomfortable.",2,0.1597357330972917,image042.jpg,video042.mp4
43,Electricity,The lights in the compartment were flickering throughout the journey.,3333333333,2024-10-21 10:00:00,2024-10-21 11:30:00,completed,staff043,,,"Lights were fixed promptly, but the flickering was irritating.",3,0.5194903929374589,image043.jpg,video043.mp4
44,unhygenic_toilet,The washbasin was full of hair and soap residue.,3434343434,2024-10-22 14:00:00,2024-10-22 15:30:00,completed,staff044,,,"The washbasin was cleaned immediately, but the hair and soap left behind were off-putting.",3,0.6230729978910045,image044.jpg,video044.mp4
45,damage_window,"The window wouldn't open, and the AC was malfunctioning.",3535353535,2024-10-23 12:30:00,2024-10-23 13:45:00,completed,staff045,,,"Window issue was resolved, but the AC took longer to fix.",4,0.5896144914458094,image045.jpg,video045.mp4
46,damage_seat,The seat was stained and uncomfortable.,3636363636,2024-10-24 09:00:00,2024-10-24 10:00:00,completed,staff046,,,The seat was cleaned and changed quickly.,4,0.7511432749453847,image046.jpg,video046.mp4
47,food,The food served was cold and did not meet expectations.,3737373737,2024-10-25 16:15:00,2024-10-25 17:45:00,completed,staff047,,,"The food was replaced, but the quality was still disappointing.",2,0.3769447564545743,image047.jpg,video047.mp4
48,unhygenic_compartment,"The compartment was dirty, with trash scattered all over.",3838383838,2024-10-26 12:00:00,2024-10-26 13:30:00,completed,staff048,,,"The compartment was cleaned immediately after the complaint, but the trash issue was frequent.",3,0.6392617663842444,image048.jpg,video048.mp4
50,violence,There was a heated argument between passengers about seating.,4040404040,2024-10-28 10:30:00,2024-10-28 12:00:00,completed,staff050,,,"The situation was managed quickly, but it was an uncomfortable experience.",3,0.7231420791385318,image050.jpg,video050.mp4
51,unhygenic_toilet,"The toilet had a bad odor, and the flush was not working.",4141414141,2024-10-29 13:00:00,2024-10-29 14:30:00,completed,staff051,,,"The toilet was repaired and cleaned, but the odor lingered.",3,0.6236036240167838,image051.jpg,video051.mp4
52,management,Train was delayed with no prior information about the delay.,4242424242,2024-10-30 09:30:00,2024-10-30 11:00:00,completed,staff052,,,"Delay was long, and no announcements were made. Poor communication.",2,0.225344991158523,image052.jpg,video052.mp4
53,Electricity,"The lighting was too dim, and I couldn't see clearly.",4343434343,2024-10-31 17:00:00,2024-10-31 18:30:00,completed,staff053,,,"The lighting issue was resolved, but it was uncomfortable for a while.",3,0.3153641474113617,image053.jpg,video053.mp4
54,unhygenic_toilet,"Washbasin was filthy, with soap all over and no water.",4444444444,2024-11-01 07:30:00,2024-11-01 09:00:00,completed,staff054,,,Washbasin was cleaned quickly and restocked with water.,4,0.6389327975668818,image054.jpg,video054.mp4
55,damage_window,Window seal was damaged and letting in cold air.,4545454545,2024-11-02 10:00:00,2024-11-02 11:30:00,completed,staff055,,,The window was sealed and fixed quickly.,4,0.6651511203454566,image055.jpg,video055.mp4
56,damage_seat,The seat was broken and couldn't be adjusted to a comfortable position.,4646464646,2024-11-03 12:00:00,2024-11-03 13:30:00,completed,staff056,,,"The seat was replaced quickly, and the new seat was much better.",4,0.805439915612724,image056.jpg,video056.mp4
57,food,The food was too salty and not worth the money.,4747474747,2024-11-04 13:00:00,2024-11-04 14:30:00,completed,staff057,,,"Food was replaced, but the taste didn't improve much.",2,0.410151311233256,image057.jpg,video057.mp4
58,unhygenic_compartment,The compartment was smelly and had garbage scattered on the floor.,4848484848,2024-11-05 08:30:00,2024-11-05 10:00:00,completed,staff058,,,The compartment was cleaned immediately after the complaint.,3,0.6740201546420429,image058.jpg,video058.mp4
60,violence,A disagreement escalated into a violent confrontation.,5050505050,2024-11-07 14:30:00,2024-11-07 16:00:00,completed,staff060,,,"The confrontation was managed by security, but it was a disturbing experience.",3,0.5080454406601878,image060.jpg,video060.mp4
61,unhygenic_toilet,The toilet had no tissue paper and was dirty.,5151515151,2024-11-08 12:00:00,2024-11-08 13:15:00,completed,staff061,,,"The toilet was cleaned, and tissue was provided after the complaint.",3,0.6862222734977488,image061.jpg,video061.mp4
62,management,"The train was delayed, and no updates were provided to passengers.",5252525252,2024-11-09 15:30:00,2024-11-09 16:30:00,completed,staff062,,,"The delay was long, and no proper communication was made.",2,0.3490809325642942,image062.jpg,video062.mp4
63,Electricity,The AC was malfunctioning and the compartment was too hot.,5353535353,2024-11-10 18:00:00,2024-11-10 19:15:00,completed,staff063,,,"The AC was fixed, but it took too long to address the issue.",3,0.5083991254054724,image063.jpg,video063.mp4
64,unhygenic_toilet,The washbasin was clogged and had a bad odor.,5454545454,2024-11-11 09:30:00,2024-11-11 11:00:00,completed,staff064,,,"Washbasin was unclogged and cleaned, but the odor lingered for a while.",3,0.4055243665017933,image064.jpg,video064.mp4
65,damage_seat,"The seat was broken, and I was unable to sit properly.",5555555555,2024-11-12 14:00:00,2024-11-12 15:30:00,completed,staff065,,,"Seat was replaced, but it took longer than expected.",4,0.5986302036256522,image065.jpg,video065.mp4
66,food,The food served was cold and tasteless.,5656565656,2024-10-13 11:00:00,2024-10-13 12:30:00,completed,staff066,,,"Food was replaced, but it was still not good.",2,0.7752532662577745,image066.jpg,video066.mp4
67,unhygenic_compartment,The compartment was filled with trash and smelled awful.,5757575757,2024-10-14 10:30:00,2024-10-14 12:00:00,completed,staff067,,,"Compartment was cleaned quickly, but the smell was persistent.",3,0.6297833580311853,image067.jpg,video067.mp4
69,violence,A passenger was physically threatening another passenger.,5959595959,2024-10-16 13:30:00,2024-10-16 14:30:00,completed,staff069,,,"Security handled the situation, but it was unsettling.",3,0.7227122774403503,image069.jpg,video069.mp4
70,unhygenic_toilet,The toilet had no water and was dirty.,6060606060,2024-10-17 08:45:00,2024-10-17 10:00:00,completed,staff070,,,The toilet was cleaned and water was provided after the complaint.,4,0.7110747093123948,image070.jpg,video070.mp4
71,management,"The train was overcrowded, and there were no seats available.",6161616161,2024-10-18 12:30:00,2024-10-18 14:00:00,completed,staff071,,,"The train was overcrowded, and I had to stand for the entire journey.",2,0.3239146688238797,image071.jpg,video071.mp4
72,Electricity,The lighting in my compartment was too dim to read comfortably.,6262626262,2024-10-19 11:00:00,2024-10-19 12:30:00,completed,staff072,,,"The lighting issue was fixed quickly, but it was uncomfortable initially.",3,0.5761686129854046,image072.jpg,video072.mp4
73,unhygenic_toilet,The washbasin had no soap and was dirty.,6363636363,2024-10-20 13:45:00,2024-10-20 15:00:00,completed,staff073,,,"Soap was provided, and the washbasin was cleaned after the complaint.",4,0.6490724020475387,image073.jpg,video073.mp4
74,damage_window,"The window couldn't be closed, and it was letting in cold air.",6464646464,2024-10-21 17:15:00,2024-10-21 18:00:00,completed,staff074,,,"The window was fixed quickly, but the cold air was uncomfortable.",4,0.3496246668851025,image074.jpg,video074.mp4
75,damage_seat,"The seat was uncomfortable, and the backrest was broken.",6565656565,2024-10-22 10:30:00,2024-10-22 12:00:00,completed,staff075,,,"The seat was replaced, but it was uncomfortable for a while.",3,0.2729879710018223,image075.jpg,video075.mp4
76,food,The food was overpriced and not up to the mark.,6666666666,2024-10-23 18:00:00,2024-10-23 19:30:00,completed,staff076,,,"Food quality could be better, but the replacement was done swiftly.",3,0.41194059467575,image076.jpg,video076.mp4
77,unhygenic_compartment,"There was trash on the floor, and the air conditioning was not working.",6767676767,2024-10-24 11:30:00,2024-10-24 13:00:00,completed,staff077,,,"The trash was cleaned, but the AC issue persisted for a while.",3,0.5197219610011746,image077.jpg,video077.mp4
79,violence,A fight broke out between two passengers.,6969696969,2024-10-26 14:30:00,2024-10-26 16:00:00,completed,staff079,,,"Security handled the fight, but it was disturbing to witness.",3,0.4072776768333835,image079.jpg,video079.mp4
80,unhygenic_toilet,"The toilet had a foul smell, and the flush was broken.",7070707070,2024-10-27 13:00:00,2024-10-27 14:30:00,completed,staff080,,,"The toilet was cleaned and fixed quickly, but the smell took some time to go.",3,0.6913091408903375,image080.jpg,video080.mp4
81,management,The train was running late and there were no announcements.,7171717171,2024-10-28 07:30:00,2024-10-28 09:00:00,completed,staff081,,,"No announcements were made, and the delay was frustrating.",2,0.2237914932325991,image081.jpg,video081.mp4
82,Electricity,The lights in the cabin were flickering constantly.,7272727272,2024-10-29 16:00:00,2024-10-29 17:00:00,completed,staff082,,,"The lighting was fixed quickly, but it was annoying initially.",3,0.4978874248061523,image082.jpg,video082.mp4
83,unhygenic_toilet,The washbasin was clogged and there was no soap.,7373737373,2024-10-30 11:30:00,2024-10-30 13:00:00,completed,staff083,,,Washbasin was cleared and soap was provided after the complaint.,4,0.5301218991061422,image083.jpg,video083.mp4
84,violence,A passenger was verbally abusive to the train staff.,7474747474,2024-10-31 12:30:00,2024-10-31 14:00:00,completed,staff084,,,The situation was handled professionally by the staff.,3,0.845816034367213,image084.jpg,video084.mp4
85,damage_seat,The seat was uncomfortable and had stains.,7575757575,2024-11-01 13:00:00,2024-11-01 14:15:00,completed,staff085,,,"The seat was replaced promptly, but it was uncomfortable for the duration.",3,0.3484957423975598,image085.jpg,video085.mp4
86,unhygenic_compartment,The compartment had leftover food and wrappers scattered.,7676767676,2024-11-02 10:00:00,2024-11-02 11:15:00,completed,staff086,,,"Compartment was cleaned immediately, but some wrappers were still left behind.",3,0.615843222251355,image086.jpg,video086.mp4
88,Electricity,The compartment was too cold due to the air conditioning.,7878787878,2024-11-04 15:30:00,2024-11-04 16:45:00,completed,staff088,,,"Temperature was adjusted, but the cabin remained a bit cold.",3,0.2876491144357138,image088.jpg,video088.mp4
89,unhygenic_toilet,The toilet seat was broken and the floor was wet.,7979797979,2024-11-05 12:00:00,2024-11-05 13:30:00,completed,staff089,,,"Toilet was fixed, but the condition was bad initially.",2,0.3878574782765607,image089.jpg,video089.mp4
90,damage_window,The window glass was cracked and it was dangerous.,8080808080,2024-11-06 09:30:00,2024-11-06 11:00:00,completed,staff090,,,"The window was replaced quickly, but it was a safety hazard before.",4,0.6539644861464118,image090.jpg,video090.mp4
91,management,There was no proper seating arrangement in the train.,8181818181,2024-11-07 13:00:00,2024-11-07 14:00:00,completed,staff091,,,"The train was overcrowded, and it was uncomfortable.",2,0.2837644186995951,image091.jpg,video091.mp4
92,violence,"A passenger was smoking in the compartment, which is against the rules.",8282828282,2024-11-08 14:30:00,2024-11-08 16:00:00,completed,staff092,,,"The smoking passenger was asked to stop, but it was disturbing for others.",3,0.5461876550221083,image092.jpg,video092.mp4
93,unhygenic_toilet,The washbasin was broken and the water was leaking.,8383838383,2024-11-09 11:15:00,2024-11-09 12:30:00,completed,staff093,,,"The washbasin was repaired, but it caused inconvenience during the wait.",3,0.3156208169227558,image093.jpg,video093.mp4
94,food,The food was stale and tasted awful.,8484848484,2024-11-10 14:00:00,2024-11-10 15:15:00,completed,staff094,,,"Food was replaced, but the quality was still poor.",2,0.4424504063059549,image094.jpg,video094.mp4
95,unhygenic_toilet,The toilet had no water and was extremely dirty.,8585858585,2024-11-11 10:30:00,2024-11-11 11:45:00,completed,staff095,,,"Water was restored, and the toilet was cleaned, but it was unpleasant.",3,0.4499336803743547,image095.jpg,video095.mp4
96,management,The train did not stop at my station as per the schedule.,8686868686,2024-11-12 07:30:00,2024-11-12 09:00:00,completed,staff096,,,"The missed station issue was addressed, but the confusion was frustrating.",2,0.4901690301957734,image096.jpg,video096.mp4
97,violence,There was an argument between passengers and staff.,8787878787,2024-11-13 13:45:00,2024-11-13 15:00:00,completed,staff097,,,"The issue was resolved, but the argument was loud and unpleasant.",3,0.2618613605878986,image097.jpg,video097.mp4
99,unhygenic_compartment,"The compartment was not cleaned properly, and the floor was sticky.",8989898989,2024-10-28 17:00:00,2024-10-28 18:00:00,completed,staff099,,,"The compartment was cleaned again, but the sticky floor was a big issue.",3,0.8178556719873112,image099.jpg,video099.mp4
100,damage_seat,The seat was uncomfortable and had stains on it.,9090909090,2024-10-29 16:30:00,2024-10-29 18:00:00,completed,staff100,,,"The seat was changed, but it was a disappointing experience.",2,0.3044903789877432,image100.jpg,video100.mp4
101,Electricity,The lights were too dim to read.,9191919191,2024-10-30 11:00:00,2024-10-30 12:00:00,completed,staff101,,,"The lighting issue was fixed, but it was a bit too late.",3,0.6038515867975941,image101.jpg,video101.mp4
102,unhygenic_toilet,There was no water in the washbasin.,9292929292,2024-11-01 13:15:00,2024-11-01 14:30:00,completed,staff102,,,"The washbasin was restored quickly, but it caused a lot of inconvenience.",3,0.5200018791105382,image102.jpg,video102.mp4
103,management,The train was overcrowded and people were standing in the aisle.,9393939393,2024-11-02 12:00:00,2024-11-02 13:30:00,completed,staff103,,,"The overcrowding was unpleasant, but the staff managed it well.",3,0.7139099754184889,image103.jpg,video103.mp4
104,violence,A passenger was harassing others in the compartment.,9494949494,2024-11-03 14:45:00,2024-11-03 16:00:00,completed,staff104,,,"The staff handled the harassment issue, but it was disturbing for others.",3,0.7239546450076555,image104.jpg,video104.mp4
105,damage_window,The window was stuck and couldn't be opened.,9595959595,2024-11-04 08:30:00,2024-11-04 09:45:00,completed,staff105,,,"The window was fixed quickly, but it was frustrating initially.",3,0.5153039477499861,image105.jpg,video105.mp4
107,Electricity,The AC was too cold and uncomfortable.,9797979797,2024-11-06 13:00:00,2024-11-06 14:00:00,completed,staff107,,,"AC temperature was adjusted, but it was too late.",3,0.3336893035499345,image107.jpg,video107.mp4
108,unhygenic_toilet,The toilet had a foul smell and was extremely dirty.,9898989898,2024-11-07 08:45:00,2024-11-07 10:15:00,completed,staff108,,,"The toilet was cleaned after the complaint, but it was unpleasant initially.",2,0.3796068070851821,image108.jpg,video108.mp4
109,management,The train was delayed for more than 2 hours with no proper information.,9999999999,2024-11-08 09:30:00,2024-11-08 11:30:00,completed,staff109,,,Lack of information caused a lot of confusion during the delay.,2,0.2893277436545339,image109.jpg,video109.mp4
110,violence,A passenger was caught smoking inside the compartment.,1010101010,2024-11-09 14:30:00,2024-11-09 16:00:00,completed,staff110,,,"The situation was handled, but it was disturbing for everyone.",3,0.7632985790949187,image110.jpg,video110.mp4
111,damage_seat,The seat was broken and was uncomfortable to sit on.,1111111111,2024-11-10 12:00:00,2024-11-10 13:30:00,completed,staff111,,,"The seat was changed, but it took too long.",2,0.3288006740825538,image111.jpg,video111.mp4
112,unhygenic_toilet,The washbasin was blocked and had no water.,1212121212,2024-11-11 10:30:00,2024-11-11 12:00:00,completed,staff112,,,"The washbasin was repaired, but it was inconvenient.",3,0.3715567704093307,image112.jpg,video112.mp4
113,food,The food provided was cold and not fresh.,1313131313,2024-11-12 13:00:00,2024-11-12 14:30:00,completed,staff113,,,"Food was replaced, but the quality was still poor.",2,0.4424504063059549,image113.jpg,video113.mp4
114,unhygenic_compartment,The compartment was not cleaned properly and smelled bad.,1414141414,2024-11-13 12:30:00,2024-11-13 14:00:00,completed,staff114,,,"Compartment was cleaned again, but the smell lingered.",3,0.6218737449539902,image114.jpg,video114.mp4
116,management,The train staff was rude and uncooperative.,1616161616,2024-10-02 08:00:00,2024-10-02 09:30:00,completed,staff116,,,Staff was unhelpful and unpleasant to interact with.,2,0.3036406373772806,image116.jpg,video116.mp4
117,violence,A passenger was shouting at the conductor for no reason.,1717171717,2024-10-03 17:00:00,2024-10-03 18:00:00,completed,staff117,,,"The passenger was calmed down, but it was uncomfortable for others.",3,0.2235191549527473,image117.jpg,video117.mp4
118,damage_window,The window was cracked and didn't close properly.,1818181818,2024-10-04 11:00:00,2024-10-04 12:30:00,completed,staff118,,,"The window was fixed, but it was an inconvenience at first.",3,0.356742495008012,image118.jpg,video118.mp4
119,Electricity,"The lights in the cabin were too dim, making it hard to see.",1919191919,2024-10-05 09:30:00,2024-10-05 10:30:00,completed,staff119,,,"Lights were adjusted, but it was difficult to see before.",3,0.4630758988858824,image119.jpg,video119.mp4
120,unhygenic_toilet,The toilet was filthy and had no soap.,2020202020,2024-10-06 13:00:00,2024-10-06 14:30:00,completed,staff120,,,The toilet was cleaned and soap was provided after the complaint.,4,0.6884667163514623,image120.jpg,video120.mp4
121,food,The food was stale and lacked flavor.,2121212121,2024-10-07 14:00:00,2024-10-07 15:30:00,completed,staff121,,,"The food was replaced, but the quality was still not up to standard.",2,0.4770688633346229,image121.jpg,video121.mp4
122,unhygenic_compartment,The compartment had garbage on the floor and smelled terrible.,2222222222,2024-10-08 11:15:00,2024-10-08 12:30:00,completed,staff122,,,"The compartment was cleaned, but it smelled bad initially.",3,0.3181260810251218,image122.jpg,video122.mp4
123,management,The train was overcrowded and uncomfortable to travel in.,2323232323,2024-10-09 14:30:00,2024-10-09 16:00:00,completed,staff123,,,The overcrowding was unbearable during the trip.,2,0.373472269885224,image123.jpg,video123.mp4
124,violence,A passenger was harassing other passengers and causing trouble.,2424242424,2024-10-10 10:00:00,2024-10-10 11:30:00,completed,staff124,,,"The situation was handled, but it was distressing for everyone.",3,0.8035196708292863,image124.jpg,video124.mp4
125,damage_seat,The seat was uncomfortable and had stains.,2525252525,2024-10-11 12:00:00,2024-10-11 13:30:00,completed,staff125,,,"The seat was replaced, but it was disappointing initially.",3,0.2728198311940584,image125.jpg,video125.mp4
126,unhygenic_toilet,The washbasin had a leak and there was no soap.,2626262626,2024-10-12 08:30:00,2024-10-12 09:45:00,completed,staff126,,,"The washbasin was repaired, and soap was provided after the complaint.",4,0.6231311779139401,image126.jpg,video126.mp4
128,management,The train station was extremely crowded with no proper guidance.,2828282828,2024-10-14 09:00:00,2024-10-14 10:30:00,completed,staff128,,,The lack of guidance made the station experience worse.,2,0.6621717983432369,image128.jpg,video128.mp4
129,violence,A passenger was arguing loudly with the conductor.,2929292929,2024-10-15 11:45:00,2024-10-15 13:00:00,completed,staff129,,,"The situation was resolved, but it was uncomfortable for others.",3,0.5579102820231018,image129.jpg,video129.mp4
130,damage_window,The window was difficult to open and there was no air circulation.,3030303030,2024-10-16 12:30:00,2024-10-16 14:00:00,completed,staff130,,,"The window was fixed, but it was uncomfortable before.",3,0.3018032679956203,image130.jpg,video130.mp4
132,Electricity,The AC was too loud and disturbed my sleep.,3232323232,2024-10-18 22:00:00,2024-10-18 23:30:00,completed,staff132,,,"The AC noise was reduced, but I couldn't sleep well before.",3,0.5091134507391595,image132.jpg,video132.mp4
133,unhygenic_toilet,The toilet had no toilet paper and was not clean.,3333333333,2024-10-19 10:00:00,2024-10-19 11:30:00,completed,staff133,,,"The issue was resolved, but it was uncomfortable initially.",2,0.306748027582589,image133.jpg,video133.mp4
134,management,"There was no staff to assist with luggage, causing confusion.",3434343434,2024-10-20 16:00:00,2024-10-20 17:30:00,completed,staff134,,,The situation was handled after a long wait.,2,0.6256169852724445,image134.jpg,video134.mp4
135,violence,"A passenger was smoking inside the train, causing discomfort to others.",3535353535,2024-10-21 11:00:00,2024-10-21 12:30:00,completed,staff135,,,"The passenger was reprimanded, but it was uncomfortable.",3,0.1488617253558012,image135.jpg,video135.mp4
136,damage_seat,The seat fabric was torn and uncomfortable.,3636363636,2024-10-22 09:30:00,2024-10-22 11:00:00,completed,staff136,,,"The seat was replaced, but it took too long.",3,0.4205184683107076,image136.jpg,video136.mp4
137,unhygenic_toilet,The washbasin was dirty and had no soap or water.,3737373737,2024-10-23 08:00:00,2024-10-23 09:30:00,completed,staff137,,,The washbasin was cleaned and soap was provided after the complaint.,4,0.6490724020475387,image137.jpg,video137.mp4
138,food,The food served was tasteless and undercooked.,3838383838,2024-10-24 14:30:00,2024-10-24 16:00:00,completed,staff138,,,"The food was replaced, but it was still not up to standard.",2,0.4372331493855594,image138.jpg,video138.mp4
